2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 4 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 4 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 0 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 3 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 3 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 3 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: RSI Mean Reversion on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 6 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: MACD Signal on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 6 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: Bollinger Bands Breakout on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 5 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: SMA Crossover on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 3 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: RSI Mean Reversion on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 6 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: MACD Signal on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 6 trades
2026-04-20 10:12:49 | bot.backtester            | INFO     | Running backtest: Bollinger Bands Breakout on BTC/USDT 1h
2026-04-20 10:12:49 | bot.backtester            | INFO     | Backtest complete: 5 trades
